query,title,price,currency,condition,seller,url,marketplace,win_min,win_max
RTX 3090 Ti,MSI GeForce RTX 3090 Ti SUPRIM X 24GB GDDR6X,1499.00,EUR,Gebraucht,dopajepa,https://www.ebay.de/itm/198632429526?_skw=RTX+3090+Ti&hash=item2e3f6a57d6:g:9vsAAeSwcvJqosPD,EBAY_DE,1419.6000000000001,2840.25
RTX 3090 Ti,"EVGA GeForce RTX 3090 Ti FTW3 Black Gaming, 24GB GDDR6X GPU Grafikkarte - Top Zu",1549.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318850265578?_skw=RTX+3090+Ti&hash=item4a3cf4f1ea:g:7Q0AAeSwIf5qoeYq,EBAY_DE,1419.6000000000001,2840.25
RTX 3090 Ti,MSI NVIDA GeForce  RTX 3090Ti GAMING X TRIO Graphics Card GPU 24G GDDR6X,1599.00,EUR,Gebraucht,newdisk,https://www.ebay.de/itm/127774066669?_skw=RTX+3090+Ti&hash=item1dbfed87ed:g:DxkAAeSw3ulpxiJM,EBAY_DE,1419.6000000000001,2840.25
RTX 3090 Ti,MSI NVIDA GeForce  RTX 3090Ti GAMING X TRIO Graphics Card GPU 24G GDDR6X,1699.00,EUR,Gebraucht,yiermei,https://www.ebay.de/itm/396321732316?_skw=RTX+3090+Ti&hash=item5c469db6dc:g:oN4AAOSwBNNkis0y,EBAY_DE,1419.6000000000001,2840.25
RTX 3090 Ti,RTX 3090 TI Suprim mit AIO Wasserkühlung vorinstalliert,1750.00,EUR,Gebraucht,waffensuchti287,https://www.ebay.de/itm/127976608320?_skw=RTX+3090+Ti&hash=item1dcc001240:g:eE8AAeSwWUhqV9so,EBAY_DE,1419.6000000000001,2840.25
RTX 3090 Ti,MSI NVIDA GeForce  RTX 3090Ti GAMING X TRIO Graphics Card GPU 24G GDDR6X,1988.00,EUR,Gebraucht,ea_memory,https://www.ebay.de/itm/155699149778?_skw=RTX+3090+Ti&hash=item2440647bd2:g:svcAAOSwUVNkyim7,EBAY_DE,1419.6000000000001,2840.25
RTX 3090 Ti,MSI RTX 3090 Ti 24GB BLACK TRIO Grafikkarte DisplayPort HDMI getestet,2150.84,EUR,Gebraucht,risingsungaming,https://www.ebay.de/itm/206448705060?_skw=RTX+3090+Ti&hash=item30114d3e24:g:Gr4AAeSwOPZqaQ5w,EBAY_DE,1419.6000000000001,2840.25
RTX 3090 Ti,MSI NVIDA GeForce RTX 3090Ti GAMING X TRIO Graphics Card GPU 24G GDDR6X New,1990.29,EUR,Gebraucht,diskclubs-de,https://www.ebay.de/itm/167895217370?_skw=RTX+3090+Ti&hash=item271755b4da:g:~MYAAeSwJANpA~zx,EBAY_DE,1419.6000000000001,2840.25
RTX 3090 Ti,2 Grafikkarten = MSI RTX 3090Ti 24GB Suprim X  + MSI RTX 3090 24GB Gaming X Trio,2300.00,EUR,Gebraucht,mat457095,https://www.ebay.de/itm/198554101832?_skw=RTX+3090+Ti&hash=item2e3abf2848:g:Wp4AAeSwSLlqddow,EBAY_DE,1419.6000000000001,2840.25
RTX 3090 Ti,NVIDIA RTX 3090Ti 24GB Public Version Ai Deep Learning GPU Graphics Card,2576.26,EUR,Gebraucht,diskclubs-de,https://www.ebay.de/itm/168278122762?_skw=RTX+3090+Ti&hash=item272e28610a:g:7IUAAeSwz-NpzMX1,EBAY_DE,1419.6000000000001,2840.25
