query,title,price,currency,condition,seller,url,marketplace,win_min,win_max
RTX 3090,"Aorus RTX3090 24GB GDDR6X Master Ki, Workstation & Gaming GPU - OHNE KÜHLER!",1290.00,EUR,Gebraucht,hardwaredrop,https://www.ebay.de/itm/407202964384?_skw=RTX+3090&hash=item5ecf3023a0:g:2E8AAeSwBsNqoLo4,EBAY_DE,1204.056,2398.5
RTX 3090,ZOTAC Gaming GeForce RTX 3090 Trinity OC 24GB GDDR6X – geprüft TOP - KI,1299.00,EUR,Gebraucht,1055elke,https://www.ebay.de/itm/147585031300?_skw=RTX+3090&hash=item225cc0dc84:g:05QAAeSwDTZqrvaP,EBAY_DE,1204.056,2398.5
RTX 3090,Gainward GeForce RTX 3090 Phoenix 24 GB – voll funktionsfähig – Gaming /KI/ LLM,1299.00,EUR,Gebraucht,simkorn,https://www.ebay.de/itm/168713700126?_skw=RTX+3090&hash=item27481ec31e:g:CDgAAeSwJYJqs~BG,EBAY_DE,1204.056,2398.5
RTX 3090,GeForce RTX 3090 24GB Public Turbo Graphics Card Server Disassembly,1345.17,EUR,Gebraucht,terratechnologies,https://www.ebay.de/itm/820133697293?_skw=RTX+3090&hash=itembef3c7170d:g:hpoAAeSwmuxqqnX8,EBAY_DE,1204.056,2398.5
RTX 3090,ASUS TUF Gaming GeForce RTX 3090 OC 24GB GDDR6X Grafikkarte,1349.00,EUR,Gebraucht,batzy13,https://www.ebay.de/itm/206577473703?_skw=RTX+3090&hash=item3018fa18a7:g:wwQAAeSwpPxqtCf7,EBAY_DE,1204.056,2398.5
RTX 3090,MSI NVIDIA GeForce RTX 3090 VENTUS 3X 24G OC 24GB PCIe x16 HDMI/DP,1349.00,EUR,Gebraucht,batzy13,https://www.ebay.de/itm/206577484647?_skw=RTX+3090&hash=item3018fa4367:g:3MQAAeSwVUdqtCl5,EBAY_DE,1204.056,2398.5
RTX 3090,MSI NVIDIA GeForce RTX 3090 VENTUS 3X 24G OC 24GB PCIe x16 HDMI/DP,1379.00,EUR,Gebraucht,olaf_bor,https://www.ebay.de/itm/820157987794?_skw=RTX+3090&hash=itembef539bbd2:g:tp8AAeSwaBlqsl~K,EBAY_DE,1204.056,2398.5
RTX 3090,MSI GeForce RTX 3090 Gaming X TRIO 24GB GDDR6X - Top Zustand / Nur Valorant OVP,1399.00,EUR,Gebraucht,ad8755,https://www.ebay.de/itm/398410919665?_skw=RTX+3090&hash=item5cc3242ef1:g:izkAAeSwHYBqrpwt,EBAY_DE,1204.056,2398.5
RTX 3090,"Palit GeForce RTX 3090 GamingPro, 24GB GDDR6X GPU Grafikkarte - Top Zustand",1399.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318909876666?_skw=RTX+3090&hash=item4a408289ba:g:SE4AAeSwUZFqgZjD,EBAY_DE,1204.056,2398.5
RTX 3090,EVGA GeForce RTX 3090 FTW3 Ultra Gaming 24GB GDDR6X - guter Zustand,1399.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318909891625?_skw=RTX+3090&hash=item4a4082c429:g:ctQAAeSw65BqYoEc,EBAY_DE,1204.056,2398.5
RTX 3090,"Gainward GeForce RTX 3090 Phantom GS, 24GB GDDR6X GPU Grafikkarte",1399.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318909897464?_skw=RTX+3090&hash=item4a4082daf8:g:p84AAeSwD-BqZe6U,EBAY_DE,1204.056,2398.5
RTX 3090,"Gainward GeForce RTX 3090 Phantom+, 24GB GDDR6X GPU Grafikkarte",1399.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318909903464?_skw=RTX+3090&hash=item4a4082f268:g:xEMAAeSwb0xqtFcZ,EBAY_DE,1204.056,2398.5
RTX 3090,"PNY GeForce RTX 3090 XLR8 Gaming RGB Triple Fan, 24GB GPU Grafikkarte - Top",1399.99,EUR,Gebraucht,power-builds,https://www.ebay.de/itm/318909940878?_skw=RTX+3090&hash=item4a4083848e:g:1EoAAeSwxlxqtFeC,EBAY_DE,1204.056,2398.5
RTX 3090,Gainward GeForce RTX 3090 Phoenix 24GB GDDR6X Grafikkarte Wasserkühlung,1399.00,EUR,Gebraucht,denju-42,https://www.ebay.de/itm/287583685086?_skw=RTX+3090&hash=item42f552c9de:g:txwAAeSw2Ghqpm5a,EBAY_DE,1204.056,2398.5
RTX 3090,GIGABYTE AORUS GeForce RTX 3090 Master 24GB GDDR6X Grafikkarte GPU,1399.00,EUR,Gebraucht,halk0_57,https://www.ebay.de/itm/227520060826?_skw=RTX+3090&hash=item34f9409d9a:g:3EoAAeSwJs5qpv3L,EBAY_DE,1204.056,2398.5
RTX 3090,KFA2 GeForce RTX 3090 SG 24GB GDDR6X Grafikkarte Gaming KI LLM,1399.00,EUR,Gebraucht,qhyu1012,https://www.ebay.de/itm/158327633822?_skw=RTX+3090&hash=item24dd0ff79e:g:m4oAAeSwSapqs4vy,EBAY_DE,1204.056,2398.5
RTX 3090,GIGABYTE NVIDIA GeForce RTX 3090 24 GB Vram ❗Gaming/KI/ Workstation ❗,1399.79,EUR,Gebraucht,yane_1182,https://www.ebay.de/itm/377519220752?_skw=RTX+3090&hash=item57e5e62810:g:pucAAeSw6VxqtMz0,EBAY_DE,1204.056,2398.5
RTX 3090,NVIDIA GeForce RTX 3090 Founders Edition 24GB GDDR6X Grafikkarte...,1450.00,EUR,Gebraucht,l_95906,https://www.ebay.de/itm/404345291635?_skw=RTX+3090&hash=item5e24db8373:g:GX0AAOSwo3Vkk3Af,EBAY_DE,1204.056,2398.5
RTX 3090,Zotac Gaming GeForce RTX 3090 Trinity 24GB GDDR6X Grafikkarte + PTM7950 Mod,1499.99,EUR,Gebraucht,julfisc_85,https://www.ebay.de/itm/398408707247?_skw=RTX+3090&hash=item5cc3026caf:g:pUoAAeSwvd5qrbi3,EBAY_DE,1204.056,2398.5
RTX 3090,Grafikkarte - NVIDIA GeForce RTX 3090 24GB,1500.00,EUR,Gebraucht,cenayesilta-0,https://www.ebay.de/itm/398407730017?_skw=RTX+3090&hash=item5cc2f38361:g:9VUAAeSw21dqrVY9,EBAY_DE,1204.056,2398.5
RTX 3090,DELL GeForce RTX 3090 24GB,1499.00,EUR,Gebraucht,exander777,https://www.ebay.de/itm/267788474679?_skw=RTX+3090&hash=item3e596fd937:g:W3MAAeSwvMFqrGCI,EBAY_DE,1204.056,2398.5
RTX 3090,ASUS ROG Strix GeForce RTX 3090 24GB White PCIe x16 HDMI/DisplayPort,1499.00,EUR,Gebraucht,rosha4_8,https://www.ebay.de/itm/206574251975?_skw=RTX+3090&hash=item3018c8efc7:g:gyUAAeSwVrlqsmKo,EBAY_DE,1204.056,2398.5
RTX 3090,NVIDIA GeForce RTX 3090 Founders Edition 24GB GDDR6X Grafikkarte,1500.00,EUR,Gebraucht,ardeshir00bianca,https://www.ebay.de/itm/318503278538?_skw=RTX+3090&hash=item4a284657ca:g:7TEAAeSwu7FqHLuU,EBAY_DE,1204.056,2398.5
