date,marketplace,query,median,cheapest,count,at_target
2026-08-18,EBAY_DE,DDR4 RDIMM 32GB,89.54,42.00,48,1
2026-08-18,EBAY_DE,DDR4 RDIMM 64GB,180.00,99.00,17,0
2026-08-18,EBAY_DE,EliteDesk 800 G4 Mini,109.00,109.00,1,0
2026-08-18,EBAY_DE,EliteDesk 800 G5 Mini,164.38,147.25,2,0
2026-08-18,EBAY_DE,Gaming PC mit RTX 3080,999.50,710.00,18,0
2026-08-18,EBAY_DE,Gaming PC mit RTX 3090,1875.00,1600.00,6,0
2026-08-18,EBAY_DE,Nvidia Quadro RTX,571.53,432.43,45,7
2026-08-18,EBAY_DE,OptiPlex 3070 Micro,139.67,89.00,30,1
2026-08-18,EBAY_DE,RTX 4070 Ti Super,850.00,782.99,3,0
2026-08-18,EBAY_DE,RTX 4080 Super,899.00,899.00,1,0
2026-08-18,EBAY_DE,ThinkCentre M720q,165.75,139.18,18,0
2026-08-18,EBAY_DE,ThinkCentre M920q,186.00,179.00,3,0
2026-08-18,EBAY_DE,X99 Mainboard,53.90,31.57,9,1
2026-08-18,EBAY_DE,Xeon E5-2690v4,30.33,14.27,17,0
